"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 12:43:38 MSK 2021","Thu Aug 19 12:43:38 MSK 2021","571","test","test_add_group","","","","test_add_group[None:namegou4ing6:headerGEECOLmGQkVfwP:footerM9chIF]",""
"passed","Thu Aug 19 12:43:22 MSK 2021","Thu Aug 19 12:43:24 MSK 2021","2595","test","test_add_contact","","","","test_add_contact[None:::::::::::::::]",""
"passed","Thu Aug 19 12:43:44 MSK 2021","Thu Aug 19 12:43:48 MSK 2021","4497","test","test_contact_in_group","","","","test_add_contact_to_group",""
"passed","Thu Aug 19 12:43:49 MSK 2021","Thu Aug 19 12:43:50 MSK 2021","1063","test","test_db_matches_ui","","","","test_contact_list",""
"passed","Thu Aug 19 12:43:54 MSK 2021","Thu Aug 19 12:43:54 MSK 2021","2","test","test_info_on_home_page_and_db","","","","test_info_on_home_page_and_db",""
"passed","Thu Aug 19 12:43:24 MSK 2021","Thu Aug 19 12:43:27 MSK 2021","2571","test","test_add_contact","test_add_contact[None:firstnameKZ:lastnamekuAByOd5Y:nicknameMkc7:titlezWOF8:companykeX2:addressTnr4Q:602:1089","","","test_add_contact[None:firstnameKZ:lastnamekuAByOd5Y:nicknameMkc7:titlezWOF8:companykeX2:addressTnr4Q:602:1089::email@GT3.Y:email2K0Rmh4U@yxci.kN:email3Lq@zm.b:address2o87mumF:7124:notes9W6wkSy6UKnR0d]",""
"passed","Thu Aug 19 12:43:32 MSK 2021","Thu Aug 19 12:43:35 MSK 2021","2567","test","test_add_contact","","","","test_add_contact[None:firstnamebJyewkm:lastname0YarI4X9:nickname4GIAn0:titleqE606NQS:companysvuv1E02:addressjf8r:707049770:353:984:emailwW8U8XA7l@ZPW.:email2SNh@XE.g:email3EOI66R@a.:address2bo:03054:notesgQagzmTWMJxR]",""
"passed","Thu Aug 19 12:43:57 MSK 2021","Thu Aug 19 12:43:58 MSK 2021","1044","test","test_modify_group","","","","test_modify_group",""
"passed","Thu Aug 19 12:43:35 MSK 2021","Thu Aug 19 12:43:38 MSK 2021","2561","test","test_add_contact","test_add_contact[None:firstnameeNk:lastname9ax:nickname2kBqa:titlefZU9US:companyfxR:addressMsTyfCT:72:437","","","test_add_contact[None:firstnameeNk:lastname9ax:nickname2kBqa:titlefZU9US:companyfxR:addressMsTyfCT:72:437::emailOwAlLFq@.TC:email2oZ@9f9H.:email340R9SS@I.:address29u2:230659:notesyVNiJRvMYeXO]",""
"passed","Thu Aug 19 12:43:39 MSK 2021","Thu Aug 19 12:43:40 MSK 2021","499","test","test_add_group","","","","test_add_group[None:namemAscYc:headerziM22pfF8Bf8s7:footerhLcjaYFG]",""
"passed","Thu Aug 19 12:43:40 MSK 2021","Thu Aug 19 12:43:40 MSK 2021","482","test","test_add_group","","","","test_add_group[None:nameSOB6k0oO:headerXaKwPcVR:footerDeFBlfAWUgGVJ]",""
"passed","Thu Aug 19 12:43:54 MSK 2021","Thu Aug 19 12:43:57 MSK 2021","2532","test","test_modify_contact","","","","test_modify_some_contact_lastname",""
"passed","Thu Aug 19 12:43:41 MSK 2021","Thu Aug 19 12:43:44 MSK 2021","3244","test","test_contact_in_group","","","","test_del_contact_from_group",""
"passed","Thu Aug 19 12:43:48 MSK 2021","Thu Aug 19 12:43:49 MSK 2021","731","test","test_db_matches_ui","","","","test_group_list",""
"passed","Thu Aug 19 12:43:52 MSK 2021","Thu Aug 19 12:43:54 MSK 2021","1672","test","test_info_on_home_page","","","","test_info_on_home_page",""
"passed","Thu Aug 19 12:43:39 MSK 2021","Thu Aug 19 12:43:39 MSK 2021","471","test","test_add_group","","","","test_add_group[None:name0RX2:headerBxr8vDJxJdbot2AhK:footerPLzwJ]",""
"passed","Thu Aug 19 12:43:30 MSK 2021","Thu Aug 19 12:43:32 MSK 2021","2484","test","test_add_contact","","","","test_add_contact[None:firstnameX:lastname:nicknameV1qlouq:titleI:companyv2RfNj:addressk:37:6785404:577:email4rsPcV@HDo.:email2w@5DwN.BS:email3UvN@2m.L:address2OPk:6:notespILtIUHJ0PsX]",""
"passed","Thu Aug 19 12:43:40 MSK 2021","Thu Aug 19 12:43:41 MSK 2021","464","test","test_add_group","","","","test_add_group[None:name:headerR9pXZEay:footerqEvo7pihqmPjNB8KK]",""
"passed","Thu Aug 19 12:43:50 MSK 2021","Thu Aug 19 12:43:52 MSK 2021","1127","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Thu Aug 19 12:43:27 MSK 2021","Thu Aug 19 12:43:30 MSK 2021","2551","test","test_add_contact","","","","test_add_contact[None:firstnameP:lastnameWTMM:nicknameeFFvgVk8:titlePQ:company9z6hst7qe:addressyLRu82:652182:04172:288484:emailkxyT@hRw.Xh:email2Lq7ZDW2@.SF:email30PfAEFK@6jnC.Cv:address2WRxIYuDk:5877250:notesjGVZtam5E]",""
"passed","Thu Aug 19 12:43:52 MSK 2021","Thu Aug 19 12:43:52 MSK 2021","659","test","test_del_group","","","","test_delete_some_group",""
